Strike,Date,Year,Tribal Agency,Location,Latitude,Longitude,Time Period,Minimum All Targets,Maximum All Targets,Minimum Domestic Buildings,Maximum Domestic Buildings,Minimum Religious Buildings,Maximum Religious Buildings,Minimum Other Buildings,Maximum Other Buildings,Minimum vehicles,Maximum vehicles,Strucutral Damage,Minimum Number of Missiles Reported Fired,Maximum Number of Missiles Reported FIred,Minimum Total Reported Killed,Maximum Total Reported Killed,Minimum Civilians Reported Killed,Maximum Civilians Reported Killed,Minimum Children Reported Killed,Maximum Children Reported Killed,Minimum Injured,Maximum Injured
Ob92,11/5/10,2010,NWA,Gurwak,32.849812,69.465265,Afternoon,0,2,0,1,0,0,0,0,0,1,-,2,2,7,15,0,0,0,0,4,4
Ob93,15/05/2010,2010,Khyber,Tirah Valley,33.806538,70.72998,Evening,0,3,0,2,0,0,0,0,0,1,4,8,8,5,15,0,2,0,0,15,15
Ob94,21/05/2010,2010,NWA,Boya,32.944149,69.900169,Night,1,2,1,1,0,0,0,0,0,1,4,4,5,7,12,5,9,3,4,7,10
Ob95,28/05/2010,2010,SWA,Mizai Nari,32.288656,69.319611,Afternoon,1,1,1,1,0,0,0,0,0,0,-,2,2,8,12,0,11,0,0,4,4
Ob96,10/6/10,2010,NWA,Norak,32.980948,70.171738,Evening,1,2,1,1,0,0,0,0,0,1,3,2,2,2,7,4,4,0,0,3,3
Ob97,11/6/10,2010,NWA,Mizar Madakhel,32.906109,69.748807,Morning,1,1,1,1,0,0,0,0,0,0,4,3,6,10,15,0,0,0,0,10,12
Ob98,19/06/2010,2010,NWA,Haider Khel,32.945661,70.317135,Morning,0,2,0,1,0,0,0,1,0,0,4,1,2,16,17,0,0,0,0,10,18
Ob99,26/06/2010,2010,NWA,Khushali,32.938927,70.247355,Night or morning,1,2,1,2,0,0,0,0,0,0,4,1,2,2,4,0,0,0,0,1,3
Ob100,27/06/2010,2010,NWA,Tapi Tool,33.100098,70.041575,Afternoon,1,2,1,1,0,0,0,0,0,1,-,2,2,5,6,0,0,0,0,4,4
Ob101,29/06/2010,2010,SWA,Kari Kot,32.326451,69.477754,,1,2,1,1,0,0,0,0,0,1,4,2,2,7,10,0,0,0,0,1,4
